OBS	  GDP	         M1
1970:1	13217.2		259.8
1970:2	16099.8		257.8
1970:3	16182.4		274.1
1970:4	23546.7		298.6
1971:1	14653.9		316.7
1971:2	17536.2		327.3
1971:3	17885.1		323.1
1971:4	24662.2		363.1
1972:1	15459.3		378.1
1972:2	17967.4		382.5
1972:3	18545.5		428.7
1972:4	26104.5		505.9
1973:1	17147.2		578.3
1973:2	20357.7		604.4
1973:3	21360.1		657
1973:4	28607.7		722.5
1974:1	19201.2		778.4
1974:2	22177.9		754.4
1974:3	22331.1		770.4
1974:4	30044.9		884.1
1975:1	19891.7		944.5
1975:2	23351.8		943.2
1975:3	23494.1		1074.1
1975:4	32593.7		1138.5
1976:1	21750.9		1235.2
1976:2	26097.2		1269.5
1976:3	26072.3		1363.9
1976:4	35912.6		1474.5
1977:1	23089.1		1664.3
1977:2	27839.3		1736
1977:3	29384		1915.6
1977:4	40498		2161.7
1978:1	26320.4		2389.3
1978:2	31899.4		2365.1
1978:3	31897.8		2709.7
1978:4	41922.4		2994.6
1979:1	29683.1		3260.6
1979:2	34249.3		3222.7
1979:3	33641.6		3344.5
1979:4	43422.3		3700.9
1980:1	29733.3		4006.5
1980:2	33820.1		3847.3
1980:3	34438.5		4107
1980:4	40906		4342.9
1981:1	30770.4		4759.2
1981:2	34976.1		4912.6
1981:3	36385.3		5319.9
1981:4	45326.4		5490.2
1982:1	32878.3		6260.8
1982:2	37443.7		6855.6
1982:3	39041.7		8321.6
1982:4	48895.9		9300.1
1983:1	36362.7		9538.5
1983:2	41767.9		9566.1
1983:3	43968.7		10046.2
1983:4	53212.6		10538.9
1984:1	40492.9		10863.4
1984:2	45610.9		10814
1984:3	47273.7		11315.7
1984:4	56138.7		11623.1
1985:1	43096.4		12140.8
1985:2	48662		12724.6
1985:3	50393.1		13231.1
1985:4	60256.6		13925.6
1986:1	47079.2		15165.3
1986:2	53761.4		16177.3
1986:3	56626		17259.9
1986:4	66434.9		18240.6
1987:1	53267.4		19373.2
1987:2	60487.5		20332.7
1987:3	62676.9		21678.2
1987:4	72332		23741.9
1988:1	60889.8		24910.4
1988:2	65847.8		25370.2
1988:3	68620		27309.2
1988:4	79877.7		28731.2
1989:1	64435.4		29736.8
1989:2	70639.5		29832
1989:3	73072.4		30918.1
1989:4	85651.2		32096
1990:1	70952.6		36109.9
1990:2	78051.7		37562.7
1990:3	80159.5		38063.8
1990:4	91532.5		40479.1
1991:1	77791.3		44214.3
1991:2	86155.4		44465.5
1991:3	87175.7		45770.5
1991:4	99697.5		48526.5
1992:1	84174.7		52779.4
1992:2	92192.5		53287.1
1992:3	91040.5		55158.6
1992:4	104025.3	60174.4
1993:1	87917.2		64099.3
1993:2	97219.3		65955.1
1993:3	97815		69294
1993:4	111264.4	73076.9
1994:1	95437		74575.4
1994:2	104757.7	75759.4
1994:3	105806.9	79167
1994:4	121866.6	82158
1995:1	104393.2	85746.4
1995:2	114791.9	85439.1
1995:3	116687.8	87798.4
1995:4	131226.3	91841.3
1996:1	112109.1	96076.6
1996:2	123035.4	96816.4
1996:3	124373		99846.4
1996:4	140272.2	106508.2
1997:1	117605.2	113567.2
1997:2	130478.5	113376.8
1997:3	130719.7	118552.4
1997:4	144231.3	126355.6
1998:1	111371.8	120023.7
1998:2	120168.3	102618.1
1998:3	120104		111139.4
1998:4	135539.4	120856.5
1999:1	117907.7	127573.4
1999:2	131841.4	139958.4
1999:3	133375.6	154976.2
1999:4	150274.6	166632.9
2000:1	133383.4	173198.4
2000:2	144171.4	182424
2000:3	144350.1	187613.4
2000:4	156759.7	190163.8
2001:1	138047.3	202638.6
2001:2	149503.6	205869.5
2001:3	149311.5	219365.8
2001:4	164003.6	237895.5
2002:1	147076.1	256941.7
2002:2	159990.3	263279.6
2002:3	159407.1	263798.2
2002:4	176274.6	276149.9
2003:1	152625		283414.8
2003:2	163536.1	277733
2003:3	163003.9	281278.2
2003:4	183489.9	291163.5
2004:1	160658.2	304054.5
2004:2	172588.5	303951.4
2004:3	170629.1	305501.2
2004:4	189548.2	312186.8
